Company Name ,Account Number,Country ,Reporting Year,Ticker Symbol ,ISIN ,Disclosure Score,Performance Band,Parent Account ,Permission,Response Status,Scope 1 (metric tonnes CO2e),Scope 2 (metric tonnes CO2e),Country Location
T.GARANTİ BANKASI A.Ş.,21129,Turkey,2013,GARAN TI,TRAGARAN91N1,80,C,,Public,AQ*,15567.78,73993.85,"(38.963745, 35.243322)"
Taiwan Semiconductor Manufacturing,18280,Taiwan,2013,2330 TT,TW0002330008,90,B,,Public,AQ*,1563306,3042814,"(23.69781, 120.960515)"
Takeda Pharmaceutical Company Limited,18316,Japan,2013,4502 JP,JP3463000004,79,C,,Public,AQ*,238684,168509,"(36.204824, 138.252924)"
Target Corporation,18320,USA,2013,TGT US,US87612E1064,91,B,,Public,AQ*,527047,2489866,"(37.09024, -95.712891)"
Tata Consultancy Services,18287,India,2013,TCS IN,INE467B01029,89,A,,Public,AQ*,58961,300555,"(20.593684, 78.96288)"
TD Bank Group,19241,Canada,2013,TD CN,CA8911605092,94,A,,Public,AQ*,43289,64108,"(56.130366, -106.346771)"
Teck Resources Limited,21481,Canada,2013,TCK/B CN,CA8787422044,90,B,,Public,AQ*,2889517,293514,"(56.130366, -106.346771)"
Telefonica,18427,Spain,2013,TEF SM,ES0178430E18,95,B,,Public,AQ*,111124,1649137,"(40.463667, -3.74922)"
Telefonica Brasil S.A.,36639,Brazil,2013,VIVT4 BZ,BRVIVTACNPR7,,,Telefonica,,SA,,,"(-14.235004, -51.92528)"
Telekomunikasi Indonesia,18439,Indonesia,2013,TLKM IJ,ID1000129000,,,,,NR,,,"(-0.789275, 113.921327)"
Telenor Group,18435,Norway,2013,TEL NO,NO0010063308,95,A,,Public,AQ*,342073,787079,"(60.472024, 8.468946)"
TeliaSonera,18430,Sweden,2013,TLSN SS,SE0000667925,83,B,,Public,AQ*,35331,268482,"(60.128161, 18.643501)"
Telstra Corporation,18519,Australia,2013,TLS AU,AU000000TLS2,83,B,,Public,AQ*,53587,1374617,"(-25.274398, 133.775136)"
Tenaris S.A.,22531,Luxembourg,2013,TEN IM,LU0156801721,,,,,NR,,,"(49.815273, 6.129583)"
Tencent Holdings,18544,Hong Kong,2013,700 HK,KYG875721485,,,,,NR,,,"(22.396428, 114.109497)"
Tesco,18574,United Kingdom,2013,TSCO LN,GB0008847096,96,A-,,Public,AQ*,1418798,3764068,"(55.378051, -3.435973)"
Teva Pharmaceutical Industries Ltd,18586,Israel,2013,TEVA IT,IL0006290147,73,D,,Public,AQ*,377704.82,593981.97,"(31.046051, 34.851612)"
Texas Instruments Incorporated,18640,USA,2013,TXN US,US8825081040,64,D,,Public,AQ*,827274.44,1588465.81,"(37.09024, -95.712891)"
The Chubb Corporation,3293,USA,2013,CB US,US1712321017,52,D,,Public,AQ*,1129,10133,"(37.09024, -95.712891)"
The Coca-Cola Company,3564,USA,2013,KO US,US1912161007,90,A-,,Public,AQ*,2551626,1138377,"(37.09024, -95.712891)"
"The Home Depot, Inc.",8526,USA,2013,HD US,US4370761029,99,A-,,Public,AQ*,250224,2529646,"(37.09024, -95.712891)"
The Southern Company,18951,USA,2013,SO US,US8425871071,,,,Public,IN,,,"(37.09024, -95.712891)"
"The Travelers Companies, Inc.",19377,USA,2013,TRV US,US89417E1091,63,C,,Public,AQ*,35633,48175,"(37.09024, -95.712891)"
Thermo Fisher Scientific Inc.,19016,USA,2013,TMO US,US8835561023,75,D,,Public,AQ*,64863,297992,"(37.09024, -95.712891)"
Thomson Reuters Corporation,19075,USA,2013,TRI US,CA8849031056,95,B,,Public,AQ*,,,"(37.09024, -95.712891)"
Time Warner Cable Inc.,19120,USA,2013,TWC US,US88732J2078,,,,,NR,,,"(37.09024, -95.712891)"
Time Warner Inc.,19119,USA,2013,TWX US,US8873173038,,,,Public,AQ*,23777,194010,"(37.09024, -95.712891)"
"TJX Companies, Inc.",19145,USA,2013,TJX US,US8725401090,98,B,,Public,AQ*,63084,686955,"(37.09024, -95.712891)"
"Tokio Marine Holdings, Inc.",19184,Japan,2013,8766 JP,JP3910660004,83,B,,Public,AQ*,17918,70971,"(36.204824, 138.252924)"
Total,19257,France,2013,FP FP,FR0000120271,81,C,,Public,AQ*,47000000,4400000,"(46.227638, 2.213749)"
Toyota Motor Corporation,19290,Japan,2013,7203 JP,JP3633400001,96,B,,Public,AQ*,2727000,4499000,"(36.204824, 138.252924)"
TransCanada Corporation,19304,Canada,2013,TRP CN,CA89353D1078,91,B,,Public,AQ*,12186545,231494,"(56.130366, -106.346771)"
Tullow Oil,19589,United Kingdom,2013,TLW LN,GB0001500809,72,B,,Public,AQ*,579834.45,122,"(55.378051, -3.435973)"
Twenty-First Century Fox,13126,USA,2013,FOX US,,97,A-,,Public,AQ*,62360,376022,"(37.09024, -95.712891)"
U.S. Bancorp,19593,USA,2013,USB US,US9029733048,78,C,,Public,AQ*,38055,370672,"(37.09024, -95.712891)"
UBS,22416,Switzerland,2013,UBSN VX,CH0024899483,92,A-,,Public,AQ*,21838,172421,"(46.818188, 8.227512)"
Unibail-Rodamco,19789,France,2013,UL FP,FR0000124711,79,B,,Public,AQ*,15429,66533,"(46.227638, 2.213749)"
UniCredit,19794,Italy,2013,UCG IM,IT0004781412,77,C,,Public,AQ*,67424.93,308347.8,"(41.87194, 12.56738)"
Unilever Nv Cva,22285,Netherlands,2013,UNA NA,NL0000009355,,,Unilever plc,,SA,,,"(52.132633, 5.291266)"
Unilever plc,19829,United Kingdom,2013,ULVR LN,GB00B10RZP78,85,A,,Public,AQ*,1053344,907399,"(55.378051, -3.435973)"
Union Pacific Corporation,19845,USA,2013,UNP US,US9078181081,98,B,,Public,AQ*,11595509,407176,"(37.09024, -95.712891)"
United Overseas Bank,19894,Singapore,2013,UOB SP,SG1M31001969,,,,,NR,,,"(1.352083, 103.819836)"
United Technologies Corporation,19859,USA,2013,UTX US,US9130171096,87,B,,Public,AQ*,801694,880896,"(37.09024, -95.712891)"
UnitedHealth Group Inc,19858,USA,2013,UNH US,US91324P1021,98,B,,Public,AQ*,8693.78,104200.46,"(37.09024, -95.712891)"
UPS,19898,USA,2013,UPS US,US9113121068,99,A-,,Public,AQ*,11715635,823212,"(37.09024, -95.712891)"
Uralkali,20047,Russia,2013,URKA RU,RU0007661302,41,,,Not public,AQ*,,,"(61.52401, 105.318756)"
Vale,20050,Brazil,2013,VALE3 BZ,BRVALEACNOR0,98,B,,Public,AQ*,16403834.28,1469166.84,"(-14.235004, -51.92528)"
"Valeant Pharmaceuticals International, Inc.",31831,Canada,2013,VRX US,CA91911K1021,,,,,NR,,,"(56.130366, -106.346771)"
Valero Energy Corporation,20048,USA,2013,VLO US,US91913Y1001,,,,Public,IN,,,"(37.09024, -95.712891)"
Ventas Inc,22873,USA,2013,VTR US,US92276F1003,85,C,,Public,AQ*,43381,314379,"(37.09024, -95.712891)"
Verizon Communications Inc.,20175,USA,2013,VZ US,US92343V1044,84,B,,Public,AQ*,512899.04,5334874.05,"(37.09024, -95.712891)"
Viacom Inc.,20159,USA,2013,VIAB US,US92553P2011,60,D,,Not public,AQ*,,,"(37.09024, -95.712891)"
Vinci,20205,France,2013,DG FP,FR0000125486,93,B,,Public,AQ*,2195535,193548,"(46.227638, 2.213749)"
Visa,22867,USA,2013,V US,US92826C8394,61,D,,Public,AQ*,8151,68313,"(37.09024, -95.712891)"
Vivendi SA,20319,France,2013,VIV FP,FR0000127771,69,D,,Public,AQ*,90755,345818,"(46.227638, 2.213749)"
Vodacom Group,22902,South Africa,2013,VOD SJ,ZAE000132577,94,B,,Public,AQ*,45850.61,401703.25,"(-30.559482, 22.937506)"
Vodafone Group,20316,United Kingdom,2013,VOD LN,GB00B16GWD56,85,B,,Public,AQ*,404885,2178178,"(55.378051, -3.435973)"
Volkswagen AG,20309,Germany,2013,VOW3 GR,DE0007664039,99,A,,Public,AQ*,4133581,4572344,"(51.165691, 10.451526)"
Volvo,20273,Sweden,2013,VOLVB SS,SE0000115446,73,C,,Not public,AQ*,,,"(60.128161, 18.643501)"
VTB Bank,20356,Russia,2013,VTBR RU,RU000A0JP5V6,,,,,NR,,,"(61.52401, 105.318756)"
Wal Mart de Mexico,20332,Mexico,2013,WALMEXV MM,MXP810081010,71,C,"Wal-Mart Stores, Inc.",Public,AQ*,851495,1078080,"(23.634501, -102.552784)"
Walgreen Company,20398,USA,2013,WAG US,US9314221097,86,C,,Not public,AQ*,,,"(37.09024, -95.712891)"
"Wal-Mart Stores, Inc.",20402,USA,2013,WMT US,US9311421039,94,A-,,Public,AQ*,5605099,15581135,"(37.09024, -95.712891)"
Walt Disney Company,20384,USA,2013,DIS US,US2546871060,78,C,,Public,AQ*,867353,899027,"(37.09024, -95.712891)"
Want Want China Holdings Ltd.,21395,Hong Kong,2013,151 HK,KYG9431R1039,,,,,NR,,,"(22.396428, 114.109497)"
"WellPoint, Inc.",20595,USA,2013,WLP US,US94973V1070,57,C,,Public,AQ*,7460,114199,"(37.09024, -95.712891)"
Wells Fargo & Company,20575,USA,2013,WFC US,US9497461015,96,A,,Public,AQ*,93904,1333372,"(37.09024, -95.712891)"
Wesfarmers,20592,Australia,2013,WES AU,AU000000WES1,77,B,,Public,AQ*,2508924,2790505,"(-25.274398, 133.775136)"
Westfield Group,20629,Australia,2013,WDC AU,AU000000WDC7,85,B,,Public,AQ*,25187,458569,"(-25.274398, 133.775136)"
Westpac Banking Corporation,19051,Australia,2013,WBC AU,AU000000WBC1,91,A,,Public,AQ*,12134,176648,"(-25.274398, 133.775136)"
Wharf Holdings,20608,Hong Kong,2013,4 HK,HK0004000045,,,,,NR,,,"(22.396428, 114.109497)"
"Williams Companies, Inc.",20705,USA,2013,WMB US,US9694571004,,,,,NR,,,"(37.09024, -95.712891)"
Woodside Petroleum,20771,Australia,2013,WPL AU,AU000000WPL2,72,C,,Public,AQ*,9889254,8455,"(-25.274398, 133.775136)"
Woolworths Limited,20780,Australia,2013,WOW AU,AU000000WOW2,96,B,,Public,AQ*,383871,2499051,"(-25.274398, 133.775136)"
WPP Group,20789,United Kingdom,2013,WPP LN,JE00B8KF9B49,95,B,,Public,AQ*,9859,164206,"(55.378051, -3.435973)"
Xstrata,20903,Switzerland,2013,XTA LN,GB0031411001,82,C,,Not public,AQ*,,,"(46.818188, 8.227512)"
Yahoo Japan Corporation,20906,Japan,2013,4689 JP,JP3933800009,15,,,Not public,AQ*,,,"(36.204824, 138.252924)"
Yahoo! Inc.,20905,USA,2013,YHOO US,US9843321061,91,B,,Public,AQ*,4002.04,333290.8,"(37.09024, -95.712891)"
"Yum! Brands, Inc.",20917,USA,2013,YUM US,US9884981013,92,B,,Public,AQ*,156510,2377372,"(37.09024, -95.712891)"
Zurich Insurance Group,21064,Switzerland,2013,ZURN VX,CH0011075394,65,C,,Not public,AQ*,,,"(46.818188, 8.227512)"
